query_id,variant_id,rank,doc_id
1,0,1,2001.01816
1,0,2,2412.14446
1,0,3,2409.17403
1,0,4,2502.15119
1,0,5,1909.05003
1,0,6,2212.09438
1,0,7,1908.00178
1,0,8,2204.12717
1,0,9,2105.07635
1,0,10,2311.05332
1,1,1,2001.01816
1,1,2,2412.14446
1,1,3,2409.17403
1,1,4,2502.15119
1,1,5,1909.05003
1,1,6,2212.09438
1,1,7,1908.00178
1,1,8,2204.12717
1,1,9,2105.07635
1,1,10,2311.05332
1,2,1,2110.12255
1,2,2,2302.09227
1,2,3,2405.03218
1,2,4,2111.00228
1,2,5,2204.01943
1,2,6,2202.13501
1,2,7,1701.07901
1,2,8,1604.04653
1,2,9,2009.09984
1,2,10,2102.01882
1,3,1,2110.12255
1,3,2,2403.06797
1,3,3,2302.09227
1,3,4,2005.00127
1,3,5,1706.10082
1,3,6,2411.12667
1,3,7,2105.07635
1,3,8,2101.07571
1,3,9,1406.5565
1,3,10,2012.02502
1,4,1,2110.12255
1,4,2,2302.09227
1,4,3,1908.00178
1,4,4,2204.12717
1,4,5,2311.05332
1,4,6,2312.06352
1,4,7,1908.05674
1,4,8,2208.09694
1,4,9,2403.07542
1,4,10,2311.09093
1,5,1,1709.00846
1,5,2,2006.14011
1,5,3,2402.0475
1,5,4,2107.00689
1,5,5,2306.14601
1,5,6,2106.11379
1,5,7,2203.15983
1,5,8,1202.4495
1,5,9,1812.0776
1,5,10,2002.04791
2,0,1,1809.00084
2,0,2,2210.03163
2,0,3,1906.05251
2,0,4,2404.18891
2,0,5,2008.06457
2,0,6,1904.00724
2,0,7,2406.17804
2,0,8,2408.01607
2,0,9,1804.01653
2,0,10,1811.03151
2,1,1,1809.00084
2,1,2,2210.03163
2,1,3,1906.05251
2,1,4,2404.18891
2,1,5,2008.06457
2,1,6,1904.00724
2,1,7,2406.17804
2,1,8,2408.01607
2,1,9,1804.01653
2,1,10,1811.03151
2,2,1,1811.02654
2,2,2,2211.1104
2,2,3,2111.01093
2,2,4,1709.02967
2,2,5,2203.09674
2,2,6,1706.04397
2,2,7,1903.02871
2,2,8,1807.09169
2,2,9,1901.03915
2,2,10,2404.09461
2,3,1,2008.06457
2,3,2,1809.00084
2,3,3,2210.03163
2,3,4,2004.15004
2,3,5,1708.02711
2,3,6,1906.05251
2,3,7,1604.01497
2,3,8,2404.18891
2,3,9,1904.00724
2,3,10,2406.17804
2,4,1,1907.12056
2,4,2,2206.10294
2,4,3,2407.0772
2,4,4,2112.08968
2,4,5,2305.04665
2,4,6,1910.03274
2,4,7,1705.02727
2,4,8,1701.05384
2,4,9,2208.02895
2,4,10,1805.08693
2,5,1,2205.05841
2,5,2,2410.17816
2,5,3,1703.08497
2,5,4,2404.10433
2,5,5,1601.07014
2,5,6,2210.08472
2,5,7,2011.1279
2,5,8,2411.09283
2,5,9,1705.09552
2,5,10,2208.06933
3,0,1,1509.0647
3,0,2,2410.22626
3,0,3,2411.16537
3,0,4,2209.05629
3,0,5,2212.0192
3,0,6,2407.00609
3,0,7,2501.13104
3,0,8,2410.17988
3,0,9,2109.1341
3,0,10,2410.04529
3,1,1,1901.10968
3,1,2,2403.10104
3,1,3,2411.01639
3,1,4,2107.00229
3,1,5,2011.03216
3,1,6,2404.04608
3,1,7,2410.13384
3,1,8,2409.20289
3,1,9,2309.15329
3,1,10,2207.13315
3,2,1,2412.0214
3,2,2,2309.15329
3,2,3,2108.07616
3,2,4,2302.10717
3,2,5,2404.18112
3,2,6,2504.02477
3,2,7,1611.08036
3,2,8,2007.03357
3,2,9,2410.08365
3,2,10,2305.0191
3,3,1,2004.14774
3,3,2,2304.11196
3,3,3,1911.06487
3,3,4,2003.08515
3,3,5,2412.0214
3,3,6,2409.18372
3,3,7,1902.10363
3,3,8,2308.1628
3,3,9,2306.09331
3,3,10,1504.03154
3,4,1,1111.5358
3,4,2,1909.07459
3,4,3,2504.02477
3,4,4,2307.13721
3,4,5,2405.08992
3,4,6,2209.09874
3,4,7,2104.02215
3,4,8,1908.06422
3,4,9,2103.16095
3,4,10,2204.09221
3,5,1,2110.12255
3,5,2,2411.05821
3,5,3,2302.09227
3,5,4,2410.03303
3,5,5,2409.12514
3,5,6,2309.08179
3,5,7,2412.06465
3,5,8,2011.03216
3,5,9,2503.04096
3,5,10,2005.08829
4,0,1,1712.05245
4,0,2,1505.0289
4,0,3,1805.0286
4,0,4,1906.06538
4,0,5,1902.03057
4,0,6,1604.03351
4,0,7,1909.06175
4,0,8,1607.05695
4,0,9,1704.04516
4,0,10,1803.02129
4,1,1,1904.07647
4,1,2,1706.08924
4,1,3,1909.06175
4,1,4,2306.03954
4,1,5,1709.06531
4,1,6,2211.11557
4,1,7,1812.1055
4,1,8,1612.06703
4,1,9,2103.16516
4,1,10,2103.16516
4,2,1,1901.08373
4,2,2,1807.04514
4,2,3,2207.09869
4,2,4,2003.11303
4,2,5,1609.06666
4,2,6,1902.05394
4,2,7,1412.719
4,2,8,2112.00322
4,2,9,2007.13284
4,2,10,2212.0756
4,3,1,1912.07249
4,3,2,1712.05245
4,3,3,1505.0289
4,3,4,1702.01334
4,3,5,2007.13284
4,3,6,2006.00058
4,3,7,1802.01116
4,3,8,1812.10087
4,3,9,2109.02497
4,3,10,2006.165
4,4,1,2302.09227
4,4,2,2110.12255
4,4,3,1701.07901
4,4,4,2204.01943
4,4,5,1604.04653
4,4,6,2111.1515
4,4,7,1810.01665
4,4,8,1808.02996
4,4,9,2010.03739
4,4,10,1711.04851
4,5,1,2206.05853
4,5,2,2306.03954
4,5,3,1703.06857
4,5,4,1907.05287
4,5,5,1802.05908
4,5,6,1905.0254
4,5,7,2208.0699
4,5,8,1604.05605
4,5,9,1909.05663
4,5,10,1706.07901
5,0,1,2110.12255
5,0,2,2302.09227
5,0,3,1703.07479
5,0,4,2210.03163
5,0,5,2408.01607
5,0,6,1804.01653
5,0,7,2405.03218
5,0,8,2204.01943
5,0,9,1701.07901
5,0,10,2004.0778
5,1,1,1703.07479
5,1,2,2210.03163
5,1,3,2408.01607
5,1,4,1804.01653
5,1,5,2004.0778
5,1,6,2501.08639
5,1,7,2110.01606
5,1,8,2008.06457
5,1,9,1906.05251
5,1,10,2310.06522
5,2,1,1703.07479
5,2,2,2210.03163
5,2,3,2408.01607
5,2,4,1804.01653
5,2,5,2004.0778
5,2,6,2501.08639
5,2,7,2110.01606
5,2,8,2008.06457
5,2,9,1906.05251
5,2,10,2310.06522
5,3,1,1706.10082
5,3,2,1703.07479
5,3,3,2403.148
5,3,4,2212.10562
5,3,5,2210.03163
5,3,6,2004.0778
5,3,7,2309.06286
5,3,8,2305.0966
5,3,9,2110.01606
5,3,10,2408.01607
5,4,1,2110.12255
5,4,2,2302.09227
5,4,3,1703.07479
5,4,4,2210.03163
5,4,5,2408.01607
5,4,6,1804.01653
5,4,7,2405.03218
5,4,8,2406.17804
5,4,9,2204.01943
5,4,10,2403.06797
5,5,1,1703.07479
5,5,2,2210.03163
5,5,3,2408.01607
5,5,4,1804.01653
5,5,5,2004.0778
5,5,6,2501.08639
5,5,7,2110.01606
5,5,8,2008.06457
5,5,9,1906.05251
5,5,10,2310.06522
